"P(i,k)",Value
"Row(_1=15, _2=87)",-2821918
"Row(_1=15, _2=88)",3088633
"Row(_1=15, _2=89)",-1557870
"Row(_1=15, _2=90)",201590
"Row(_1=15, _2=91)",5648220
"Row(_1=15, _2=92)",1629401
"Row(_1=15, _2=93)",-1858472
"Row(_1=15, _2=94)",-3531126
"Row(_1=15, _2=95)",-12358288
"Row(_1=15, _2=96)",1374408
"Row(_1=15, _2=97)",1151658
"Row(_1=15, _2=98)",-3570682
"Row(_1=15, _2=99)",2102055
"Row(_1=15, _2=100)",5729550
"Row(_1=15, _2=101)",1126649
"Row(_1=15, _2=102)",3268101
"Row(_1=15, _2=103)",13994657
"Row(_1=15, _2=104)",3412387
"Row(_1=15, _2=105)",2828534
"Row(_1=15, _2=106)",-10477754
"Row(_1=15, _2=107)",-5261739
"Row(_1=15, _2=108)",-2208906
"Row(_1=15, _2=109)",5661005
"Row(_1=15, _2=110)",-1930375
"Row(_1=15, _2=111)",1959853
"Row(_1=15, _2=112)",-4412375
"Row(_1=15, _2=113)",-1156104
"Row(_1=15, _2=114)",-2432777
"Row(_1=15, _2=115)",-4398525
"Row(_1=15, _2=116)",7089075
"Row(_1=15, _2=117)",6084747
"Row(_1=15, _2=118)",-9542212
"Row(_1=15, _2=119)",-2095297
"Row(_1=15, _2=120)",3554485
"Row(_1=15, _2=121)",1186794
"Row(_1=15, _2=122)",-7673396
"Row(_1=15, _2=123)",-6360834
"Row(_1=15, _2=124)",2673871
"Row(_1=15, _2=125)",9470974
"Row(_1=15, _2=126)",-11292620
"Row(_1=15, _2=127)",-3765278
"Row(_1=16, _2=0)",3738489
"Row(_1=16, _2=1)",-319810
"Row(_1=16, _2=2)",-10017390
"Row(_1=16, _2=3)",-2498042
"Row(_1=16, _2=4)",1702627
"Row(_1=16, _2=5)",-443011
"Row(_1=16, _2=6)",4258088
"Row(_1=16, _2=7)",-1632278
"Row(_1=16, _2=8)",-2462421
"Row(_1=16, _2=9)",9438957
"Row(_1=16, _2=10)",-5408941
"Row(_1=16, _2=11)",-1825617
"Row(_1=16, _2=12)",887617
"Row(_1=16, _2=13)",3165866
"Row(_1=16, _2=14)",-9792900
"Row(_1=16, _2=15)",-7754216
"Row(_1=16, _2=16)",3475569
"Row(_1=16, _2=17)",-3542693
"Row(_1=16, _2=18)",-7139516
"Row(_1=16, _2=19)",-6774391
"Row(_1=16, _2=20)",-2942312
"Row(_1=16, _2=21)",3258997
"Row(_1=16, _2=22)",-1726989
"Row(_1=16, _2=23)",12167797
"Row(_1=16, _2=24)",-5735598
"Row(_1=16, _2=25)",2560600
"Row(_1=16, _2=26)",-1106110
"Row(_1=16, _2=27)",-8937458
"Row(_1=16, _2=28)",-4387250
"Row(_1=16, _2=29)",-6354805
"Row(_1=16, _2=30)",14267785
"Row(_1=16, _2=31)",-5857408
"Row(_1=16, _2=32)",-227351
"Row(_1=16, _2=33)",4355546
"Row(_1=16, _2=34)",183941
"Row(_1=16, _2=35)",-6387544
"Row(_1=16, _2=36)",-3637929
"Row(_1=16, _2=37)",11520126
"Row(_1=16, _2=38)",701126
"Row(_1=16, _2=39)",683937
"Row(_1=16, _2=40)",4074191
"Row(_1=16, _2=41)",273760
"Row(_1=16, _2=42)",3772270
"Row(_1=16, _2=43)",-8320477
"Row(_1=16, _2=44)",256377
"Row(_1=16, _2=45)",2503973
"Row(_1=16, _2=46)",7808443
"Row(_1=16, _2=47)",-3859753
"Row(_1=16, _2=48)",-4274244
"Row(_1=16, _2=49)",-1855133
"Row(_1=16, _2=50)",3765603
"Row(_1=16, _2=51)",1775698
"Row(_1=16, _2=52)",4012415
"Row(_1=16, _2=53)",7198023
"Row(_1=16, _2=54)",-5336176
"Row(_1=16, _2=55)",-1311542
"Row(_1=16, _2=56)",10149696
"Row(_1=16, _2=57)",-127856
"Row(_1=16, _2=58)",7263827
"Row(_1=16, _2=59)",163709
"Row(_1=16, _2=60)",-3516993
"Row(_1=16, _2=61)",-1806235
"Row(_1=16, _2=62)",3806654
"Row(_1=16, _2=63)",-5181428
"Row(_1=16, _2=64)",-3233496
"Row(_1=16, _2=65)",247981
"Row(_1=16, _2=66)",-6166378
"Row(_1=16, _2=67)",-7784648
"Row(_1=16, _2=68)",4555315
"Row(_1=16, _2=69)",-8565770
"Row(_1=16, _2=70)",4488937
"Row(_1=16, _2=71)",2318234
"Row(_1=16, _2=72)",-371209
"Row(_1=16, _2=73)",-7713230
"Row(_1=16, _2=74)",8079463
"Row(_1=16, _2=75)",6899156
"Row(_1=16, _2=76)",2298533
"Row(_1=16, _2=77)",-548592
"Row(_1=16, _2=78)",3865767
"Row(_1=16, _2=79)",6024640
"Row(_1=16, _2=80)",4693999
"Row(_1=16, _2=81)",3477463
"Row(_1=16, _2=82)",2617084
"Row(_1=16, _2=83)",-3700131
"Row(_1=16, _2=84)",1540637
"Row(_1=16, _2=85)",-2180598
"Row(_1=16, _2=86)",1078366
"Row(_1=16, _2=87)",-647076
"Row(_1=16, _2=88)",-358306
"Row(_1=16, _2=89)",3391750
"Row(_1=16, _2=90)",-5160399
"Row(_1=16, _2=91)",2998422
"Row(_1=16, _2=92)",1010939
"Row(_1=16, _2=93)",-3567503
"Row(_1=16, _2=94)",-5512662
"Row(_1=16, _2=95)",1080292
"Row(_1=16, _2=96)",-1922785
"Row(_1=16, _2=97)",666204
"Row(_1=16, _2=98)",6213645
"Row(_1=16, _2=99)",-3843845
"Row(_1=16, _2=100)",-288466
"Row(_1=16, _2=101)",3701494
"Row(_1=16, _2=102)",1176418
"Row(_1=16, _2=103)",6128346
"Row(_1=16, _2=104)",-2765353
"Row(_1=16, _2=105)",-2304294
"Row(_1=16, _2=106)",-5045750
"Row(_1=16, _2=107)",8439917
"Row(_1=16, _2=108)",1843580
"Row(_1=16, _2=109)",2294209
"Row(_1=16, _2=110)",1626578
"Row(_1=16, _2=111)",7180105
"Row(_1=16, _2=112)",-5551368
"Row(_1=16, _2=113)",3296936
"Row(_1=16, _2=114)",2225863
"Row(_1=16, _2=115)",-3703849
"Row(_1=16, _2=116)",-8405478
"Row(_1=16, _2=117)",2187783
"Row(_1=16, _2=118)",-2521258
"Row(_1=16, _2=119)",-3773933
"Row(_1=16, _2=120)",-4499699
"Row(_1=16, _2=121)",388254
"Row(_1=16, _2=122)",6686307
"Row(_1=16, _2=123)",-2433292
"Row(_1=16, _2=124)",-821283
"Row(_1=16, _2=125)",3445238
"Row(_1=16, _2=126)",8681338
"Row(_1=16, _2=127)",-8691039
"Row(_1=17, _2=0)",-3679322
"Row(_1=17, _2=1)",1031861
"Row(_1=17, _2=2)",-5264552
"Row(_1=17, _2=3)",731941
"Row(_1=17, _2=4)",4227850
"Row(_1=17, _2=5)",1818188
"Row(_1=17, _2=6)",-2143296
"Row(_1=17, _2=7)",2163546
"Row(_1=17, _2=8)",10268884
"Row(_1=17, _2=9)",-6621032
"Row(_1=17, _2=10)",5469498
"Row(_1=17, _2=11)",699303
"Row(_1=17, _2=12)",1884002
"Row(_1=17, _2=13)",12343964
"Row(_1=17, _2=14)",1127155
"Row(_1=17, _2=15)",3154595
"Row(_1=17, _2=16)",577770
"Row(_1=17, _2=17)",-3074347
"Row(_1=17, _2=18)",-2616075
"Row(_1=17, _2=19)",1394544
"Row(_1=17, _2=20)",-6764520
"Row(_1=17, _2=21)",-7076481
"Row(_1=17, _2=22)",4394335
"Row(_1=17, _2=23)",151979
"Row(_1=17, _2=24)",-1487486
"Row(_1=17, _2=25)",-4469171
"Row(_1=17, _2=26)",-5175889
"Row(_1=17, _2=27)",4789787
"Row(_1=17, _2=28)",3013866
"Row(_1=17, _2=29)",2927841
"Row(_1=17, _2=30)",-1551579
"Row(_1=17, _2=31)",12959217
"Row(_1=17, _2=32)",-2997393
"Row(_1=17, _2=33)",-562341
"Row(_1=17, _2=34)",2369739
"Row(_1=17, _2=35)",-3545735
"Row(_1=17, _2=36)",-4038260
"Row(_1=17, _2=37)",-8843001
"Row(_1=17, _2=38)",-7144471
"Row(_1=17, _2=39)",2716916
"Row(_1=17, _2=40)",961435
"Row(_1=17, _2=41)",-3871561
"Row(_1=17, _2=42)",-2690658
"Row(_1=17, _2=43)",-8574023
"Row(_1=17, _2=44)",-1317892
"Row(_1=17, _2=45)",-6727818
"Row(_1=17, _2=46)",-6244353
"Row(_1=17, _2=47)",1973107
"Row(_1=17, _2=48)",2326875
"Row(_1=17, _2=49)",7148430
"Row(_1=17, _2=50)",11352791
"Row(_1=17, _2=51)",1650816
"Row(_1=17, _2=52)",2609987
"Row(_1=17, _2=53)",12736455
"Row(_1=17, _2=54)",1264743
"Row(_1=17, _2=55)",6132875
"Row(_1=17, _2=56)",1134945
"Row(_1=17, _2=57)",10934108
"Row(_1=17, _2=58)",7784369
"Row(_1=17, _2=59)",1880242
"Row(_1=17, _2=60)",6689588
"Row(_1=17, _2=61)",2775642
"Row(_1=17, _2=62)",1118828
"Row(_1=17, _2=63)",-9533672
"Row(_1=17, _2=64)",6997622
"Row(_1=17, _2=65)",-10611230
"Row(_1=17, _2=66)",-4324405
"Row(_1=17, _2=67)",2425621
"Row(_1=17, _2=68)",-4209258
"Row(_1=17, _2=69)",2782077
"Row(_1=17, _2=70)",3415538
"Row(_1=17, _2=71)",4977031
"Row(_1=17, _2=72)",-9071256
"Row(_1=17, _2=73)",-2378660
"Row(_1=17, _2=74)",-7662212
"Row(_1=17, _2=75)",-11049416
"Row(_1=17, _2=76)",-5733686
"Row(_1=17, _2=77)",-140087
"Row(_1=17, _2=78)",2895918
"Row(_1=17, _2=79)",2630475
"Row(_1=17, _2=80)",161834
"Row(_1=17, _2=81)",-635867
"Row(_1=17, _2=82)",-5153622
"Row(_1=17, _2=83)",-455946
"Row(_1=17, _2=84)",1397768
"Row(_1=17, _2=85)",-660674
"Row(_1=17, _2=86)",1235381
"Row(_1=17, _2=87)",-9094913
"Row(_1=17, _2=88)",7684115
"Row(_1=17, _2=89)",8160223
"Row(_1=17, _2=90)",-4993348
"Row(_1=17, _2=91)",2335078
"Row(_1=17, _2=92)",1752921
"Row(_1=17, _2=93)",1848073
"Row(_1=17, _2=94)",1471689
"Row(_1=17, _2=95)",4071
"Row(_1=17, _2=96)",-1982401
"Row(_1=17, _2=97)",-9592239
"Row(_1=17, _2=98)",4984012
"Row(_1=17, _2=99)",-3556893
"Row(_1=17, _2=100)",-113018
"Row(_1=17, _2=101)",1142193
"Row(_1=17, _2=102)",1692090
"Row(_1=17, _2=103)",3228561
"Row(_1=17, _2=104)",-1688035
"Row(_1=17, _2=105)",-2741094
"Row(_1=17, _2=106)",-213866
"Row(_1=17, _2=107)",2603628
"Row(_1=17, _2=108)",2094855
"Row(_1=17, _2=109)",3584568
"Row(_1=17, _2=110)",3233899
"Row(_1=17, _2=111)",-676250
"Row(_1=17, _2=112)",3834287
"Row(_1=17, _2=113)",3334128
"Row(_1=17, _2=114)",-6301490
"Row(_1=17, _2=115)",2363157
"Row(_1=17, _2=116)",5942860
"Row(_1=17, _2=117)",-5948111
"Row(_1=17, _2=118)",1833314
"Row(_1=17, _2=119)",2213323
"Row(_1=17, _2=120)",3523989
"Row(_1=17, _2=121)",3318661
"Row(_1=17, _2=122)",-6378406
"Row(_1=17, _2=123)",-20965447
"Row(_1=17, _2=124)",2789193
"Row(_1=17, _2=125)",-3844985
"Row(_1=17, _2=126)",-371902
"Row(_1=17, _2=127)",1254942
"Row(_1=18, _2=0)",888694
"Row(_1=18, _2=1)",501041
"Row(_1=18, _2=2)",2612807
"Row(_1=18, _2=3)",4542622
"Row(_1=18, _2=4)",6279866
"Row(_1=18, _2=5)",7579189
"Row(_1=18, _2=6)",6864429
"Row(_1=18, _2=7)",554603
"Row(_1=18, _2=8)",3062590
"Row(_1=18, _2=9)",-1628648
"Row(_1=18, _2=10)",-11503070
"Row(_1=18, _2=11)",3849884
"Row(_1=18, _2=12)",4039578
"Row(_1=18, _2=13)",12787075
"Row(_1=18, _2=14)",-1547907
"Row(_1=18, _2=15)",-1176457
"Row(_1=18, _2=16)",-2510967
"Row(_1=18, _2=17)",8151924
"Row(_1=18, _2=18)",-2245377
"Row(_1=18, _2=19)",3689732
"Row(_1=18, _2=20)",-1143729
"Row(_1=18, _2=21)",6435717
"Row(_1=18, _2=22)",12760327
"Row(_1=18, _2=23)",-6459940
"Row(_1=18, _2=24)",6878175
"Row(_1=18, _2=25)",6397280
"Row(_1=18, _2=26)",1674598
"Row(_1=18, _2=27)",3890017
"Row(_1=18, _2=28)",-4136343
"Row(_1=18, _2=29)",9659708
"Row(_1=18, _2=30)",-2496840
"Row(_1=18, _2=31)",13500002
"Row(_1=18, _2=32)",350849
"Row(_1=18, _2=33)",-5805271
"Row(_1=18, _2=34)",-2516257
"Row(_1=18, _2=35)",-3141151
"Row(_1=18, _2=36)",-1917361
"Row(_1=18, _2=37)",-17567981
"Row(_1=18, _2=38)",-3832476
"Row(_1=18, _2=39)",-43716
"Row(_1=18, _2=40)",599083
"Row(_1=18, _2=41)",2487824
"Row(_1=18, _2=42)",7284091
"Row(_1=18, _2=43)",1420561
"Row(_1=18, _2=44)",-2747463
"Row(_1=18, _2=45)",-4418178
"Row(_1=18, _2=46)",-9978208
"Row(_1=18, _2=47)",-892685
"Row(_1=18, _2=48)",400456
"Row(_1=18, _2=49)",-13820082
"Row(_1=18, _2=50)",-11462678
"Row(_1=18, _2=51)",5667191
"Row(_1=18, _2=52)",1177312
"Row(_1=18, _2=53)",5552267
"Row(_1=18, _2=54)",4454739
"Row(_1=18, _2=55)",4934179
"Row(_1=18, _2=56)",1070600
"Row(_1=18, _2=57)",-4466559
"Row(_1=18, _2=58)",-2980723
"Row(_1=18, _2=59)",7123733
"Row(_1=18, _2=60)",2928470
"Row(_1=18, _2=61)",-2102595
"Row(_1=18, _2=62)",-3157708
"Row(_1=18, _2=63)",-1715627
"Row(_1=18, _2=64)",-2491418
"Row(_1=18, _2=65)",4551019
"Row(_1=18, _2=66)",1040233
"Row(_1=18, _2=67)",-731734
"Row(_1=18, _2=68)",-5944153
"Row(_1=18, _2=69)",1118073
"Row(_1=18, _2=70)",-6963866
"Row(_1=18, _2=71)",342872
"Row(_1=18, _2=72)",-4320789
"Row(_1=18, _2=73)",-1662737
"Row(_1=18, _2=74)",6378500
"Row(_1=18, _2=75)",-407127
"Row(_1=18, _2=76)",3970281
"Row(_1=18, _2=77)",8075947
"Row(_1=18, _2=78)",-7539961
"Row(_1=18, _2=79)",-4043077
"Row(_1=18, _2=80)",-1150336
"Row(_1=18, _2=81)",-2312550
"Row(_1=18, _2=82)",-6890345
"Row(_1=18, _2=83)",-312195
"Row(_1=18, _2=84)",-2545513
"Row(_1=18, _2=85)",4694041
"Row(_1=18, _2=86)",1692051
"Row(_1=18, _2=87)",-10286908
"Row(_1=18, _2=88)",3835638
"Row(_1=18, _2=89)",2871902
"Row(_1=18, _2=90)",1988189
"Row(_1=18, _2=91)",-2212690
"Row(_1=18, _2=92)",1784737
"Row(_1=18, _2=93)",5796634
"Row(_1=18, _2=94)",9490099
"Row(_1=18, _2=95)",7753026
"Row(_1=18, _2=96)",-11431432
"Row(_1=18, _2=97)",-633617
"Row(_1=18, _2=98)",6213774
"Row(_1=18, _2=99)",-3478609
"Row(_1=18, _2=100)",4558927
"Row(_1=18, _2=101)",9581255
"Row(_1=18, _2=102)",10318852
"Row(_1=18, _2=103)",-7844079
"Row(_1=18, _2=104)",-7430697
"Row(_1=18, _2=105)",8016981
"Row(_1=18, _2=106)",8340938
"Row(_1=18, _2=107)",7146872
"Row(_1=18, _2=108)",-7498099
"Row(_1=18, _2=109)",6384091
"Row(_1=18, _2=110)",5189223
"Row(_1=18, _2=111)",-6895155
"Row(_1=18, _2=112)",7169801
"Row(_1=18, _2=113)",1593770
"Row(_1=18, _2=114)",-4655171
"Row(_1=18, _2=115)",6818061
"Row(_1=18, _2=116)",6470411
"Row(_1=18, _2=117)",-311760
"Row(_1=18, _2=118)",-1516969
"Row(_1=18, _2=119)",-41396
"Row(_1=18, _2=120)",3779232
"Row(_1=18, _2=121)",-935796
"Row(_1=18, _2=122)",-4472823
"Row(_1=18, _2=123)",-3993409
"Row(_1=18, _2=124)",-3310349
"Row(_1=18, _2=125)",-9725336
"Row(_1=18, _2=126)",-7041913
"Row(_1=18, _2=127)",-2809639
"Row(_1=19, _2=0)",2608047
"Row(_1=19, _2=1)",3698702
"Row(_1=19, _2=2)",-2625200
"Row(_1=19, _2=3)",-631365
"Row(_1=19, _2=4)",-1833973
"Row(_1=19, _2=5)",3010419
"Row(_1=19, _2=6)",-2561766
"Row(_1=19, _2=7)",-612195
"Row(_1=19, _2=8)",-1503734
"Row(_1=19, _2=9)",-10933605
"Row(_1=19, _2=10)",-13626832
"Row(_1=19, _2=11)",4703450
"Row(_1=19, _2=12)",-2434184
"Row(_1=19, _2=13)",-820526
"Row(_1=19, _2=14)",-4088476
"Row(_1=19, _2=15)",2807726
"Row(_1=19, _2=16)",38036
"Row(_1=19, _2=17)",-3310898
"Row(_1=19, _2=18)",180735
"Row(_1=19, _2=19)",-8433674
"Row(_1=19, _2=20)",1348542
"Row(_1=19, _2=21)",-83312
"Row(_1=19, _2=22)",-4762276
"Row(_1=19, _2=23)",2235662
"Row(_1=19, _2=24)",-3528228
"Row(_1=19, _2=25)",7161294
"Row(_1=19, _2=26)",-5171085
"Row(_1=19, _2=27)",-9724157
"Row(_1=19, _2=28)",-3408311
"Row(_1=19, _2=29)",8981530
"Row(_1=19, _2=30)",4240230
"Row(_1=19, _2=31)",-4508492
"Row(_1=19, _2=32)",3027785
"Row(_1=19, _2=33)",-2296321
"Row(_1=19, _2=34)",7390131
"Row(_1=19, _2=35)",501184
"Row(_1=19, _2=36)",1594671
"Row(_1=19, _2=37)",-3421012
"Row(_1=19, _2=38)",-5421302
"Row(_1=19, _2=39)",-1199832
"Row(_1=19, _2=40)",5504069
"Row(_1=19, _2=41)",-1713793
"Row(_1=19, _2=42)",13762374
"Row(_1=19, _2=43)",2195792
"Row(_1=19, _2=44)",10855670
"Row(_1=19, _2=45)",6813950
"Row(_1=19, _2=46)",3204134
"Row(_1=19, _2=47)",-871282
"Row(_1=19, _2=48)",-4693563
"Row(_1=19, _2=49)",-637482
"Row(_1=19, _2=50)",-3539938
"Row(_1=19, _2=51)",-2365152
"Row(_1=19, _2=52)",2673882
"Row(_1=19, _2=53)",2986066
"Row(_1=19, _2=54)",4458298
"Row(_1=19, _2=55)",-2568323
"Row(_1=19, _2=56)",-9642829
"Row(_1=19, _2=57)",-4704124
"Row(_1=19, _2=58)",8506646
"Row(_1=19, _2=59)",-5409547
"Row(_1=19, _2=60)",-5476290
"Row(_1=19, _2=61)",-4658720
"Row(_1=19, _2=62)",2693260
"Row(_1=19, _2=63)",5813409
"Row(_1=19, _2=64)",-9735359
"Row(_1=19, _2=65)",2421349
"Row(_1=19, _2=66)",5006116
"Row(_1=19, _2=67)",-1574091
"Row(_1=19, _2=68)",237350
"Row(_1=19, _2=69)",-5028766
"Row(_1=19, _2=70)",-9455712
"Row(_1=19, _2=71)",-7684970
"Row(_1=19, _2=72)",-2704463
"Row(_1=19, _2=73)",4563276
"Row(_1=19, _2=74)",2446904
"Row(_1=19, _2=75)",-3320560
"Row(_1=19, _2=76)",14963305
"Row(_1=19, _2=77)",-7559014
"Row(_1=19, _2=78)",183401
"Row(_1=19, _2=79)",11131242
"Row(_1=19, _2=80)",2661356
"Row(_1=19, _2=81)",10777777
"Row(_1=19, _2=82)",-4383714
"Row(_1=19, _2=83)",-6150841
"Row(_1=19, _2=84)",1861979
"Row(_1=19, _2=85)",3188070
"Row(_1=19, _2=86)",-2819931
"Row(_1=19, _2=87)",-7073527
"Row(_1=19, _2=88)",6051300
"Row(_1=19, _2=89)",-3232470
"Row(_1=19, _2=90)",-8917819
"Row(_1=19, _2=91)",8290760
"Row(_1=19, _2=92)",-5686559
"Row(_1=19, _2=93)",-851189
"Row(_1=19, _2=94)",-4224152
"Row(_1=19, _2=95)",3789984
"Row(_1=19, _2=96)",6645633
"Row(_1=19, _2=97)",4098965
"Row(_1=19, _2=98)",-11958284
"Row(_1=19, _2=99)",-2406081
"Row(_1=19, _2=100)",211132
"Row(_1=19, _2=101)",4911749
"Row(_1=19, _2=102)",-1306223
"Row(_1=19, _2=103)",6652473
"Row(_1=19, _2=104)",3299608
"Row(_1=19, _2=105)",6832561
"Row(_1=19, _2=106)",-1649404
"Row(_1=19, _2=107)",2260856
"Row(_1=19, _2=108)",2704981
"Row(_1=19, _2=109)",-1327793
"Row(_1=19, _2=110)",521647
"Row(_1=19, _2=111)",6427674
"Row(_1=19, _2=112)",16220688
"Row(_1=19, _2=113)",5827214
"Row(_1=19, _2=114)",1067752
"Row(_1=19, _2=115)",-1035464
"Row(_1=19, _2=116)",402060
"Row(_1=19, _2=117)",2631415
"Row(_1=19, _2=118)",-2915172
"Row(_1=19, _2=119)",-1925469
"Row(_1=19, _2=120)",-2568267
"Row(_1=19, _2=121)",1489258
"Row(_1=19, _2=122)",-5136846
"Row(_1=19, _2=123)",-4016313
"Row(_1=19, _2=124)",-7357646
"Row(_1=19, _2=125)",-2612654
"Row(_1=19, _2=126)",-1485034
"Row(_1=19, _2=127)",-2003796
"Row(_1=20, _2=0)",8684504
"Row(_1=20, _2=1)",-5210871
"Row(_1=20, _2=2)",-1548800
"Row(_1=20, _2=3)",2076407
"Row(_1=20, _2=4)",6827982
"Row(_1=20, _2=5)",265192
"Row(_1=20, _2=6)",-113715
"Row(_1=20, _2=7)",14013133
"Row(_1=20, _2=8)",-4849704
"Row(_1=20, _2=9)",-11331582
"Row(_1=20, _2=10)",6017226
"Row(_1=20, _2=11)",-1539196
"Row(_1=20, _2=12)",-7185781
"Row(_1=20, _2=13)",6812587
"Row(_1=20, _2=14)",-10270625
"Row(_1=20, _2=15)",12850688
"Row(_1=20, _2=16)",7417921
"Row(_1=20, _2=17)",-11560607
"Row(_1=20, _2=18)",-3349883
"Row(_1=20, _2=19)",-7040936
"Row(_1=20, _2=20)",-6229250
"Row(_1=20, _2=21)",-900908
"Row(_1=20, _2=22)",5133437
"Row(_1=20, _2=23)",6059954
"Row(_1=20, _2=24)",564103
"Row(_1=20, _2=25)",4994887
"Row(_1=20, _2=26)",1765039
"Row(_1=20, _2=27)",-6948037
"Row(_1=20, _2=28)",-2135726
"Row(_1=20, _2=29)",4177362
"Row(_1=20, _2=30)",-423288
"Row(_1=20, _2=31)",-5333194
"Row(_1=20, _2=32)",-9560203
"Row(_1=20, _2=33)",1648529
"Row(_1=20, _2=34)",2385218
"Row(_1=20, _2=35)",-5549352
"Row(_1=20, _2=36)",1134944
"Row(_1=20, _2=37)",8713258
"Row(_1=20, _2=38)",3459763
"Row(_1=20, _2=39)",-4105935
"Row(_1=20, _2=40)",-178157
"Row(_1=20, _2=41)",-3390558
"Row(_1=20, _2=42)",-3352171
"Row(_1=20, _2=43)",445661
"Row(_1=20, _2=44)",4144782
"Row(_1=20, _2=45)",3146355
"Row(_1=20, _2=46)",4305467
"Row(_1=20, _2=47)",-6591968
"Row(_1=20, _2=48)",-1648380
"Row(_1=20, _2=49)",4611619
"Row(_1=20, _2=50)",-9840652
"Row(_1=20, _2=51)",-1009527
"Row(_1=20, _2=52)",-1459568
"Row(_1=20, _2=53)",5572884
"Row(_1=20, _2=54)",-3669773
"Row(_1=20, _2=55)",-10568181
"Row(_1=20, _2=56)",3090256
"Row(_1=20, _2=57)",-3028938
"Row(_1=20, _2=58)",2845987
"Row(_1=20, _2=59)",3841204
"Row(_1=20, _2=60)",-5942784
"Row(_1=20, _2=61)",-1466624
"Row(_1=20, _2=62)",-5784716
"Row(_1=20, _2=63)",-6676848
"Row(_1=20, _2=64)",2980948
"Row(_1=20, _2=65)",6384414
"Row(_1=20, _2=66)",-3666390
"Row(_1=20, _2=67)",-8263776
"Row(_1=20, _2=68)",9391165
"Row(_1=20, _2=69)",1689071
"Row(_1=20, _2=70)",4648933
"Row(_1=20, _2=71)",-7978506
"Row(_1=20, _2=72)",12699636
"Row(_1=20, _2=73)",2503353
"Row(_1=20, _2=74)",101311
"Row(_1=20, _2=75)",4341412
"Row(_1=20, _2=76)",-4310139
"Row(_1=20, _2=77)",-4108176
"Row(_1=20, _2=78)",-5824869
"Row(_1=20, _2=79)",-8754290
"Row(_1=20, _2=80)",9147570
"Row(_1=20, _2=81)",-870712
"Row(_1=20, _2=82)",-5951245
"Row(_1=20, _2=83)",-7971469
"Row(_1=20, _2=84)",1771345
"Row(_1=20, _2=85)",-2886817
"Row(_1=20, _2=86)",5896428
"Row(_1=20, _2=87)",-3189494
"Row(_1=20, _2=88)",14031206
"Row(_1=20, _2=89)",-6474602
"Row(_1=20, _2=90)",9467758
"Row(_1=20, _2=91)",-4461327
"Row(_1=20, _2=92)",-1637033
"Row(_1=20, _2=93)",-2015935
"Row(_1=20, _2=94)",3493857
"Row(_1=20, _2=95)",-10315498
"Row(_1=20, _2=96)",2485187
"Row(_1=20, _2=97)",-1000998
"Row(_1=20, _2=98)",9482582
"Row(_1=20, _2=99)",2416256
"Row(_1=20, _2=100)",1791815
"Row(_1=20, _2=101)",1319142
"Row(_1=20, _2=102)",-11722868
"Row(_1=20, _2=103)",461048
"Row(_1=20, _2=104)",2637551
"Row(_1=20, _2=105)",5749688
"Row(_1=20, _2=106)",-3641450
"Row(_1=20, _2=107)",-5122083
"Row(_1=20, _2=108)",-1622366
"Row(_1=20, _2=109)",-9663631
"Row(_1=20, _2=110)",3649691
"Row(_1=20, _2=111)",-1474635
"Row(_1=20, _2=112)",2853805
"Row(_1=20, _2=113)",-4548831
"Row(_1=20, _2=114)",4930209
"Row(_1=20, _2=115)",-2498165
"Row(_1=20, _2=116)",4960316
"Row(_1=20, _2=117)",-1757964
"Row(_1=20, _2=118)",-5091013
"Row(_1=20, _2=119)",-4063460
"Row(_1=20, _2=120)",8612306
"Row(_1=20, _2=121)",-6632137
"Row(_1=20, _2=122)",-7711967
"Row(_1=20, _2=123)",7302063
"Row(_1=20, _2=124)",-3810761
"Row(_1=20, _2=125)",-81286
"Row(_1=20, _2=126)",-4926476
"Row(_1=20, _2=127)",4205148
"Row(_1=21, _2=0)",-6380223
"Row(_1=21, _2=1)",-3937181
"Row(_1=21, _2=2)",13655793
"Row(_1=21, _2=3)",-5711001
"Row(_1=21, _2=4)",4042950
"Row(_1=21, _2=5)",-3981387
"Row(_1=21, _2=6)",172791
"Row(_1=21, _2=7)",-2128791
"Row(_1=21, _2=8)",-6832578
"Row(_1=21, _2=9)",-2625999
"Row(_1=21, _2=10)",6947817
"Row(_1=21, _2=11)",-7002595
"Row(_1=21, _2=12)",2447083
"Row(_1=21, _2=13)",5338619
"Row(_1=21, _2=14)",3397751
"Row(_1=21, _2=15)",2069501
"Row(_1=21, _2=16)",6697357
"Row(_1=21, _2=17)",-3431224
"Row(_1=21, _2=18)",2566485
"Row(_1=21, _2=19)",5398291
"Row(_1=21, _2=20)",-9107544
"Row(_1=21, _2=21)",5948632
"Row(_1=21, _2=22)",2709219
"Row(_1=21, _2=23)",2059217
"Row(_1=21, _2=24)",970432
"Row(_1=21, _2=25)",8993751
"Row(_1=21, _2=26)",-1085029
"Row(_1=21, _2=27)",-7164647
"Row(_1=21, _2=28)",-926806
"Row(_1=21, _2=29)",-1899986
"Row(_1=21, _2=30)",-2501581
"Row(_1=21, _2=31)",-4806777
"Row(_1=21, _2=32)",557615
"Row(_1=21, _2=33)",1751890
"Row(_1=21, _2=34)",4338444
"Row(_1=21, _2=35)",-4875967
"Row(_1=21, _2=36)",2213404
"Row(_1=21, _2=37)",4466152
"Row(_1=21, _2=38)",2858892
"Row(_1=21, _2=39)",-6631836
"Row(_1=21, _2=40)",85315
